Track,Artist,Release Date,ISRC,All Time Rank,Spotify,YouTube,TikTok,Pandora,Soundcloud,Shazam
About Damn Time,Lizzo,4/14/2022,USAT22202139,172,"847,025,688","106,024,874","15,665,483,220",,,"5,445,721"
Closer,The Chainsmokers,7/29/2016,USQX91601347,173,"2,880,536,961","4,086,121,880","514,053,404","819,509,308",,"16,185,008"
FLOWER,JISOO,3/31/2023,KRA402300002,174,"440,364,356","525,156,884","6,724,997,940","1,335,366",,"1,058,579"
PERRO NEGRO,Bad Bunny,10/13/2023,QMFME2364199,175,"689,181,455","183,381,482","487,440,417","14,039,085","2,473,108","930,098"
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,10/6/2023,USUG12306085,176,"372,248,119","86,580,734","128,182,068","19,029,194","9,898,507","2,131,059"
Havana (feat. Young Thug),Camila Cabello,8/3/2017,USSM11706905,177,"2,072,182,782","3,952,909,529","546,650,805","455,553,499",,"16,095,913"
LUNA,Feid,12/1/2023,USUM72318216,178,"606,124,553","166,363,445","29,601,244","1,550,124",,"1,704,574"
I Like You (A Happier Song) (with Doja Cat),Post Malone,6/3/2022,USUM72208023,179,"827,950,825","299,001,099","1,359,837,461","150,508,004","6,459,716","3,384,275"
Bones,Imagine Dragons,3/11/2022,USUM72201759,180,"1,227,475,431","584,854,654","2,255,843,288","124,506,820",,"7,031,981"
Segï¿½ï¿½n Qu,Maluma,8/17/2023,USSD12300400,182,"571,366,508","475,200,526",,"35,912,217","46,646","1,703,294"
Selfish,Justin Timberlake,1/25/2024,USRC12400001,181,"92,932,220","42,581,931",,"28,794,637","64,503","1,440,935"
golden hour,JVKE,7/15/2022,GBKPL2204171,183,"1,126,986,320","293,553,015","2,305,840,359","32,611,885","14,112,455","3,897,680"
Levitating (feat. DaBaby),Dua Lipa,3/27/2020,GBAHT2000942,184,"2,074,721,986","1,665,434,424","2,649,555,956","188,728,577",,"7,948,325"
Get It Sexyy,Sexyy Red,3/15/2024,QZSYP2454435,185,"89,362,910","37,676,729","476,545,000","10,234,988","2,263,132","514,293"
"This Wish - From ""Wish""",Ariana DeBose,10/18/2023,USWD12328242,186,"26,674,909","7,863,539","709,276,580","1,639,744",,"87,704"
IDGAF (feat. Yeat),Drake,10/6/2023,USUG12306072,187,"406,875,019","39,850,191","22,689,637","1,498,994","16,555,878","964,984"
Ojitos Lindos,Bad Bunny,5/6/2022,QM6MZ2214888,188,"1,421,763,497","945,857,087","225,142,753","57,148,186",,"3,087,489"
Life Is Good (feat. Drake),Future,1/10/2020,USSM11914962,189,"1,237,874,594","2,430,804,498","964,755,757","222,732,085",,"5,329,382"
Escapism.,RAYE,10/12/2022,QMDA62217995,190,"804,925,777","175,393,116","3,209,982,240","21,279,325","9,065,143","6,548,714"
Stargazing,Myles Smith,5/10/2024,GBARL2400510,191,"106,599,323","10,331,471","4,700,000","3,667,355","990,796",
Jimmy Cooks (feat. 21 Savage),Drake,6/17/2022,USUG12204897,192,"971,473,231","198,796,965","926,300,276","50,899,547","24,117,364","3,142,892"
What You Know Bout Love,Pop Smoke,7/3/2020,USUM72013339,193,"1,125,681,368","306,628,096","2,775,640,343","224,742,683","70,901,053","3,908,069"
Memories,Maroon 5,9/20/2019,USUM71913350,194,"2,011,072,164","1,290,292,327","1,458,416,059","403,824,864",,"14,241,952"
Classy 101,Feid,3/31/2023,USUM72304895,195,"872,148,396","477,047,694","1,113,541,743","11,049,774",,"1,625,704"
Whatever,Kygo,1/19/2024,USRC12302637,196,"222,354,971","45,439,562",,"10,225,886",,"1,421,900"
Whatever She Wants,Bryson Tiller,2/13/2024,USRC12400299,197,"207,093,873","19,787,472","298,300,000","6,895,257","13,917,600",
